path,step,S
5,29,117.385
5,30,114.626
5,31,113.888
5,32,116.18
5,33,116.411
5,34,116.643
5,35,116.286
5,36,115.487
5,37,116.983
5,38,118.495
5,39,118.16
5,40,116.132
5,41,116.05
5,42,115.808
5,43,116.373
5,44,118.053
5,45,115.256
5,46,114.353
5,47,112.03
5,48,112.417
5,49,113.93
5,50,115.101
5,51,115.166
5,52,115.158
5,53,115.279
5,54,115.086
5,55,115.96
5,56,114.203
5,57,114.879
5,58,115.481
5,59,114.689
5,60,115.214
5,61,112.68
5,62,116.564
5,63,115.872
5,64,115.195
5,65,114.637
5,66,114.474
5,67,112.738
5,68,115.427
5,69,115.907
5,70,115.884
5,71,118.118
5,72,116.297
5,73,118.379
5,74,118.863
5,75,118.062
5,76,114.952
5,77,113.174
5,78,111.015
5,79,108.664
5,80,107.254
5,81,106.679
5,82,107.214
5,83,108.621
5,84,107.423
5,85,107.955
5,86,105.912
5,87,107.846
5,88,110.207
5,89,110.053
5,90,110.907
5,91,111.213
5,92,111.236
5,93,108.011
5,94,111.035
5,95,108.73
5,96,109.417
5,97,109.009
5,98,107.845
5,99,107.794
5,100,108.192
6,0,100
6,1,101.356
6,2,100.948
6,3,100.195
6,4,101.214
6,5,100.521
6,6,99.3127
6,7,100.27
6,8,100.704
6,9,101.669
6,10,99.817
6,11,101.149
6,12,101.901
6,13,100.666
6,14,101.283
6,15,102.469
6,16,100.774
6,17,104.51
6,18,105.288
6,19,103.111
6,20,102.414
6,21,101.278
6,22,103.706
6,23,106.607
6,24,110.968
6,25,111.007
6,26,108.932
6,27,106.058
6,28,104.266
6,29,107.048
6,30,104.944
6,31,104.099
6,32,104.424
6,33,103.117
6,34,101.57
6,35,103.491
6,36,102.844
6,37,103.548
6,38,103.104
6,39,102.096
6,40,100.613
6,41,100.943
6,42,98.6205
6,43,97.8939
6,44,100.886
6,45,98.5177
6,46,98.4447
6,47,100.773
6,48,99.32
6,49,102.491
6,50,104.298
6,51,104.612
6,52,103.939
6,53,105.38
6,54,107.299
6,55,108.766
6,56,108.938
6,57,110.655
6,58,113.088
6,59,114.461
6,60,114.241
6,61,112.251
6,62,112.96
6,63,114.382
6,64,115.217
6,65,113.08
6,66,114.462
6,67,112.551
6,68,113.278
6,69,115.346
6,70,115.563
6,71,118.645
6,72,120.126
6,73,121.777
6,74,121.662
6,75,124.489
6,76,123.453
6,77,123.012
6,78,121.353
6,79,122.141
